Drug	Disease
DB01050	607850
DB01050	165720
DB00712	140600
DB00712	165720
DB00712	607850
DB00712	165720
DB00316	140600
DB00316	165720
DB00316	607850
DB00316	165720
DB00749	140600
DB00749	165720
DB00749	607850
DB00749	165720
DB01399	140600
DB01399	165720
DB01399	607850
DB01399	165720
DB01628	140600
DB01628	165720
DB01628	607850
DB01628	165720
DB01600	140600
DB01600	165720
DB01600	607850
DB01600	165720
DB00533	140600
DB00533	165720
DB00533	607850
DB00533	165720
DB00461	140600
DB00461	165720
DB00461	607850
DB00461	165720
DB00580	140600
DB00580	165720
DB00580	607850
DB00580	165720
DB00991	140600
DB00991	165720
DB00991	607850
DB00991	165720
DB00544	144700
DB00544	605839
DB01041	144700
DB01041	605839
DB06589	144700
DB06589	605839
DB00398	144700
DB00398	605839
DB00222	608088
DB01067	608088
DB00575	161900
DB00291	223350
DB00291	246470
DB01005	223350
DB01005	246470
DB01008	223350
DB01008	246470
DB00276	223350
DB00276	246470
DB00257	223350
DB00257	246470
DB05494	223350
DB05494	246470
DB00951	223350
DB00951	246470
DB00437	223350
DB00437	246470
DB00531	223350
DB00531	246470
DB01204	223350
DB01204	246470
DB00958	223350
DB00958	246470
DB00619	223350
DB00619	246470
DB00302	223350
DB00302	246470
DB00541	223350
DB00541	246470
DB01033	223350
DB01033	246470
DB01254	223350
DB01254	246470
DB06616	223350
DB06616	246470
DB01136	208550
DB01136	600807
DB00341	208550
DB00341	600807
DB00651	208550
DB00651	600807
DB00920	208550
DB00920	600807
DB06709	208550
DB06709	600807
DB00983	208550
DB00983	600807
DB04846	208550
DB04846	600807
DB00661	208550
DB00661	600807
DB01001	208550
DB01001	600807
DB00598	208550
DB00598	600807
DB00277	208550
DB00277	600807
DB00612	208550
DB00612	600807
DB00335	208550
DB00335	600807
DB00557	208550
DB00557	600807
DB00195	208550
DB00195	600807
DB00408	208550
DB00408	600807
DB00720	208550
DB00720	600807
DB01233	208550
DB01233	600807
DB01291	208550
DB01291	600807
DB00744	208550
DB00744	600807
DB00816	208550
DB00816	600807
DB00710	208550
DB00710	600807
DB00399	208550
DB00399	600807
DB00755	208550
DB00755	600807
DB00669	208550
DB00669	600807
DB00549	208550
DB00549	600807
DB00716	208550
DB00716	600807
DB00871	208550
DB00871	600807
DB01223	208550
DB01223	600807
DB00938	208550
DB00938	600807
DB00464	208550
DB00464	600807
DB08816	208550
DB08816	600807
DB01410	208550
DB01410	600807
DB00482	175100
DB00482	175505
DB00482	246470
DB00262	236000
DB00262	236000
DB01008	236000
DB01008	236000
DB00515	236000
DB00515	236000
DB00531	236000
DB00531	236000
DB00291	236000
DB00291	236000
DB00951	236000
DB00951	236000
DB00888	236000
DB00888	236000
DB00541	236000
DB00541	236000
DB01206	236000
DB01206	236000
DB01168	236000
DB01168	236000
DB00851	236000
DB00851	236000
DB01033	236000
DB01033	236000
DB00352	236000
DB00352	236000
DB00363	145590
DB00945	145590
DB00316	145590
DB00813	145590
DB00564	145590
DB01050	145590
DB00927	145590
DB00313	145590
DB00472	145590
DB00669	145590
DB00571	145590
DB00999	203700
DB00999	210050
DB00880	203700
DB00880	210050
DB00310	203700
DB00310	210050
DB00513	203700
DB00513	210050
DB00774	203700
DB00774	210050
DB01324	203700
DB01324	210050
DB00203	203700
DB00203	210050
DB01115	203700
DB01115	210050
DB00264	203700
DB00264	210050
DB01006	203700
DB01006	210050
DB00232	203700
DB00232	210050
DB01165	203700
DB01165	210050
DB01609	203700
DB01609	210050
DB00531	605027
DB05494	605027
DB00291	605027
DB01008	605027
DB01204	605027
DB01241	144650
DB01241	144650
DB00945	160750
DB00945	160750
DB02831	241519
DB00363	113610
DB00829	113610
DB00794	113610
DB01077	239350
DB00258	239350
DB00658	239350
DB00222	125852
DB00222	222100
DB00222	612227
DB01067	125852
DB01067	222100
DB01067	612227
DB01132	125852
DB01132	222100
DB01132	612227
DB00331	125852
DB00331	222100
DB00331	612227
DB01261	125852
DB01261	222100
DB01261	612227
DB08882	125852
DB08882	222100
DB08882	612227
DB00346	600082
DB00346	600082
DB00346	600082
DB00590	600082
DB00590	600082
DB00590	600082
DB00820	600082
DB00820	600082
DB00820	600082
DB00457	600082
DB00457	600082
DB00457	600082
DB01162	600082
DB01162	600082
DB01162	600082
DB00798	604416
DB01249	137800
DB00262	137800
DB00271	137800
DB00853	137800
DB00515	603956
DB01181	603956
DB00544	603956
DB00531	603956
DB01005	603956
DB00541	603956
DB00958	603956
DB00903	256370
DB00695	256370
DB00531	256370
DB00999	256370
DB00774	256370
DB00887	256370
DB00310	256370
DB00880	256370
DB00436	256370
DB01324	256370
DB00524	256370
DB00641	256370
DB00232	256370
DB00384	256370
DB00152	190310
DB01151	146500
DB00215	146500
DB01275	146500
DB01184	146500
DB00211	146500
DB00687	146500
DB00808	215140
DB00808	600351
DB00999	215140
DB00999	600351
DB00887	215140
DB00887	600351
DB00774	215140
DB00774	600351
DB00903	215140
DB00903	600351
DB00328	215140
DB00328	600351
DB00819	215140
DB00819	600351
DB00310	215140
DB00310	600351
DB00695	215140
DB00695	600351
DB00152	215140
DB00152	600351
DB00880	215140
DB00880	600351
DB00436	215140
DB00436	600351
DB01275	215140
DB01275	600351
DB00518	215140
DB00518	600351
DB01011	215140
DB01011	600351
DB00264	215140
DB00264	600351
DB00232	215140
DB00232	600351
DB00214	215140
DB00214	600351
DB01324	215140
DB01324	600351
DB00384	215140
DB00384	600351
DB01032	215140
DB01032	600351
DB00524	215140
DB00524	600351
DB00363	181500
DB00363	615232
DB00502	181500
DB00502	615232
DB01267	181500
DB01267	615232
DB00734	181500
DB00734	615232
DB00334	181500
DB00334	615232
DB01224	181500
DB01224	615232
DB00408	181500
DB00408	615232
DB08815	181500
DB08815	615232
DB00531	601626
DB00531	601626
DB00531	601626
DB01008	601626
DB01008	601626
DB01008	601626
DB05494	601626
DB05494	601626
DB05494	601626
DB00631	601626
DB00631	601626
DB00631	601626
DB01204	601626
DB01204	601626
DB01204	601626
DB01263	601626
DB01263	601626
DB01263	601626
DB00352	601626
DB00352	601626
DB00352	601626
DB01033	601626
DB01033	601626
DB01033	601626
DB00437	146255
DB00437	166300
DB00472	146255
DB00472	166300
DB04272	146255
DB04272	166300
DB01067	146255
DB01067	166300
DB00222	146255
DB00222	166300
DB00695	146255
DB00695	166300
DB01029	146255
DB01029	166300
DB00887	146255
DB00887	166300
DB00903	146255
DB00903	166300
DB09133	146255
DB09133	166300
DB00370	146255
DB00370	166300
DB00302	146255
DB00302	166300
DB00678	146255
DB00678	166300
DB00727	146255
DB00727	166300
DB00524	146255
DB00524	166300
DB00734	146255
DB00734	166300
DB00214	146255
DB00214	166300
DB00712	180300
DB00993	180300
DB00573	180300
DB01050	180300
DB00861	180300
DB00749	180300
DB01611	180300
DB00328	180300
DB09313	180300
DB00936	180300
DB00482	180300
DB00945	180300
DB01009	180300
DB00991	180300
DB01628	180300
DB01600	180300
DB00580	180300
DB01399	180300
DB00533	180300
DB00461	180300
DB01097	180300
DB06824	180300
DB05494	608232
DB00531	608232
DB01005	608232
DB01008	608232
DB00619	608232
DB01204	608232
DB01033	608232
DB04868	608232
DB08901	608232
DB00352	608232
DB01254	608232
DB06616	608232
DB01005	603903
DB01609	603903
DB01016	264120
DB01016	303110
DB01016	601665
DB01016	601665
DB00999	264120
DB00999	303110
DB00999	601665
DB00999	601665
DB00222	264120
DB00222	303110
DB00222	601665
DB00222	601665
DB01067	264120
DB01067	303110
DB01067	601665
DB01067	601665
DB01039	264120
DB01039	303110
DB01039	601665
DB01039	601665
DB01579	264120
DB01579	303110
DB01579	601665
DB01579	601665
DB00839	264120
DB00839	303110
DB00839	601665
DB00839	601665
DB01105	264120
DB01105	303110
DB01105	601665
DB01105	601665
DB01124	264120
DB01124	303110
DB01124	601665
DB01124	601665
DB00755	264120
DB00755	303110
DB00755	601665
DB00755	601665
DB00937	264120
DB00937	303110
DB00937	601665
DB00937	601665
DB00191	264120
DB00191	303110
DB00191	601665
DB00191	601665
DB00331	264120
DB00331	303110
DB00331	601665
DB00331	601665
DB08881	264120
DB08881	303110
DB08881	601665
DB08881	601665
DB00434	607154
DB01114	607154
DB00341	607154
DB00972	607154
DB00950	607154
DB00967	607154
DB01069	607154
DB08906	607154
DB00927	109350
DB00927	109350
DB00501	109350
DB00501	109350
DB00213	109350
DB00213	109350
DB00338	109350
DB00338	109350
DB00448	109350
DB00448	109350
DB01129	109350
DB01129	109350
DB01233	109350
DB01233	109350
DB00531	612219
DB00541	612219
DB00958	612219
DB00521	137760
DB00521	137760
DB00521	137760
DB00449	137760
DB00449	137760
DB00449	137760
DB00195	137760
DB00195	137760
DB00195	137760
DB00484	137760
DB00484	137760
DB00484	137760
DB00373	137760
DB00373	137760
DB00373	137760
DB01217	114480
DB01217	114480
DB01008	114480
DB01008	114480
DB00515	114480
DB00515	114480
DB00291	114480
DB00291	114480
DB00531	114480
DB00531	114480
DB01204	114480
DB01204	114480
DB00481	114480
DB00481	114480
DB00734	114480
DB00734	114480
DB00990	114480
DB00990	114480
DB00642	114480
DB00642	114480
DB00293	114480
DB00293	114480
DB01267	114480
DB01267	114480
DB01176	114480
DB01176	114480
DB01101	114480
DB01101	114480
DB01006	114480
DB01006	114480
DB00958	114480
DB00958	114480
DB00710	114480
DB00710	114480
DB00541	114480
DB00541	114480
DB00687	114480
DB00687	114480
DB01259	114480
DB01259	114480
DB00448	614266
DB04398	146700
DB06768	146700
DB00328	266600
DB00993	266600
DB00244	266600
DB00782	266600
DB00302	266600
DB00250	246300
DB00845	246300
DB01045	246300
DB01010	254200
DB00536	254200
DB01400	254200
DB00545	254200
DB00733	254200
DB00564	126200
DB00181	126200
DB06637	126200
DB00697	126200
DB01204	126200
DB01378	189800
DB01275	189800
DB00999	189800
DB00653	189800
DB01174	189800
DB00312	189800
DB00564	239350
DB00484	137750
DB00484	601682
DB01194	137750
DB01194	601682
DB01214	137750
DB01214	601682
DB00373	137750
DB00373	601682
DB01008	254500
DB01008	254500
DB00262	254500
DB00262	254500
DB00531	254500
DB00531	254500
DB01168	254500
DB01168	254500
DB01041	254500
DB01041	254500
DB00399	254500
DB00399	254500
DB00720	254500
DB00720	254500
DB00352	254500
DB00352	254500
DB00480	254500
DB00480	254500
DB08889	254500
DB08889	254500
DB08910	254500
DB08910	254500
DB00531	256700
DB00958	256700
DB06704	256700
DB00541	256700
DB00851	256700
DB00829	601042
DB00181	601042
DB00924	601042
DB01043	601042
DB00697	601042
DB00630	166710
DB00399	166710
DB00884	166710
DB00481	166710
DB00710	166710
DB09267	166710
DB00537	606824
DB05488	606824
DB03166	613508
DB00872	613508
DB00280	208750
DB00280	212112
DB00280	212130
DB00280	212350
DB00280	225740
DB00661	208750
DB00661	212112
DB00661	212130
DB00661	212350
DB00661	225740
DB00661	607554
DB00661	608583
DB01182	607554
DB01182	608583
DB00373	607554
DB00373	608583
DB00489	607554
DB00489	608583
DB00204	607554
DB00204	608583
DB00264	607554
DB00264	608583
DB00571	607554
DB00571	608583
DB00399	607554
DB00399	608583
DB00841	607554
DB00841	608583
DB00187	607554
DB00187	608583
DB04855	607554
DB04855	608583
DB00398	607554
DB00398	608583
DB06605	607554
DB06605	608583
DB00695	127350
DB01119	127350
DB00321	600631
DB00321	600631
DB00321	600808
DB00321	600631
DB00537	145590
DB05488	145590
DB00316	145590
DB01143	145590
DB00829	145590
DB00945	145590
DB00152	145590
DB01050	145590
DB00787	145590
DB00927	145590
DB00478	145590
DB00730	145590
DB06799	145590
DB00784	145590
DB00672	125853
DB00672	125853
DB00672	125853
DB01067	125853
DB01067	125853
DB01067	125853
DB00222	125853
DB00222	125853
DB00222	125853
DB01039	125853
DB01039	125853
DB01039	125853
DB01029	125853
DB01029	125853
DB01029	125853
DB01016	125853
DB01016	125853
DB01016	125853
DB00966	125853
DB00966	125853
DB00966	125853
DB01132	125853
DB01132	125853
DB01132	125853
DB00678	125853
DB00678	125853
DB00678	125853
DB00331	125853
DB00331	125853
DB00331	125853
DB00197	125853
DB00197	125853
DB00197	125853
