diseaseid,hpoid
140600,hpo:0002758
140600,hpo:0012313
607850,hpo:0000006
607850,hpo:0002829
607850,hpo:0001387
607850,hpo:0006233
607850,hpo:0006226
165720,hpo:0000006
165720,hpo:0000007
165720,hpo:0001425
165720,hpo:0001426
165720,hpo:0008843
165720,hpo:0002644
252320,hpo:0000007
252320,hpo:0003202
252320,hpo:0000762
252320,hpo:0009830
252320,hpo:0000975
252320,hpo:0000961
252320,hpo:0011096
252320,hpo:0001278
252320,hpo:0003323
252320,hpo:0002571
600808,hpo:0000006
600808,hpo:0001425
600808,hpo:0010677
600631,hpo:0000006
600631,hpo:0010677
263300,hpo:0000006
263300,hpo:0003745
263300,hpo:0002239
263300,hpo:0001744
263300,hpo:0001907
263300,hpo:0001428
263300,hpo:0001873
263300,hpo:0001974
263300,hpo:0001900
263300,hpo:0001899
263300,hpo:0001342
263300,hpo:0002639
263300,hpo:0001977
263300,hpo:0001898
263300,hpo:0001894
263300,hpo:0002637
263300,hpo:0005513
144700,hpo:0003745
144700,hpo:0005584
155601,hpo:0000006
155601,hpo:0012056
155600,hpo:0000006
155600,hpo:0000478
155600,hpo:0001054
155600,hpo:0012056
155600,hpo:0001062
155600,hpo:0001074
155600,hpo:0007716
187950,hpo:0000006
187950,hpo:0001744
187950,hpo:0001428
187950,hpo:0000924
187950,hpo:0000822
187950,hpo:0003540
187950,hpo:0001894
187950,hpo:0001063
187950,hpo:0005547
182280,hpo:0000006
182280,hpo:0100526
600082,hpo:0000006
600082,hpo:0003593
600082,hpo:0008711
200170,hpo:0000007
200170,hpo:0000956
200170,hpo:0000855
200170,hpo:0003394
241100,hpo:0000007
241100,hpo:0000047
241100,hpo:0000054
241100,hpo:0000771
241100,hpo:0000029
241100,hpo:0000026
109350,hpo:0000006
109350,hpo:0002020
109350,hpo:0100633
109350,hpo:0100580
191800,hpo:0000006
191800,hpo:0000119
107320,hpo:0000006
107320,hpo:0001973
107320,hpo:0001101
107320,hpo:0000491
107320,hpo:0000572
107320,hpo:0000541
107320,hpo:0000622
107320,hpo:0025342
107320,hpo:0011531
107320,hpo:0025343
107320,hpo:0004420
107320,hpo:0100532
107320,hpo:0004936
107320,hpo:0025188
145590,hpo:0000006
145590,hpo:0001945
145590,hpo:0002013
145590,hpo:0002315
145590,hpo:0002018
157300,hpo:0000006
157300,hpo:0002083
157300,hpo:0000613
157300,hpo:0002013
157300,hpo:0002183
157300,hpo:0002018
157300,hpo:0002077
152700,hpo:0000006
152700,hpo:0001701
152700,hpo:0001250
152700,hpo:0000709
152700,hpo:0002725
152700,hpo:0001873
152700,hpo:0001878
152700,hpo:0000123
152700,hpo:0000992
152700,hpo:0003493
152700,hpo:0001369
152700,hpo:0002102
152700,hpo:0001882
152700,hpo:0025300
152700,hpo:0003613
191390,hpo:0001824
191390,hpo:0001426
191390,hpo:0002027
191390,hpo:0002573
191390,hpo:0002037
266600,hpo:0001425
266600,hpo:0001510
266600,hpo:0001824
266600,hpo:0100279
266600,hpo:0001426
266600,hpo:0002014
266600,hpo:0011107
266600,hpo:0005214
266600,hpo:0002027
179600,hpo:0000006
179600,hpo:0000924
179600,hpo:0030880
190400,hpo:0000006
190400,hpo:0000707
190400,hpo:0100661
160750,hpo:0000006
160750,hpo:0003701
160750,hpo:0100614
181000,hpo:0001945
181000,hpo:0003745
181000,hpo:0002240
181000,hpo:0002094
181000,hpo:0001824
181000,hpo:0012735
181000,hpo:0001744
181000,hpo:0002150
181000,hpo:0000613
181000,hpo:0001138
181000,hpo:0006530
181000,hpo:0001876
181000,hpo:0000501
181000,hpo:0001369
181000,hpo:0000622
181000,hpo:0009926
181000,hpo:0003565
181000,hpo:0002039
181000,hpo:0010702
181000,hpo:0011840
181000,hpo:0012062
181000,hpo:0008940
181000,hpo:0002037
181000,hpo:0007734
181000,hpo:0001094
181000,hpo:0012424
181000,hpo:0010286
601608,hpo:0001258
601608,hpo:0000007
601608,hpo:0001973
601608,hpo:0004844
153880,hpo:0000006
153880,hpo:0000540
153880,hpo:0000486
153880,hpo:0007754
153880,hpo:0000969
153880,hpo:0011505
153880,hpo:0007947
233810,hpo:0000007
233810,hpo:0000750
233810,hpo:0001290
233810,hpo:0001511
233810,hpo:0008897
233810,hpo:0001263
233810,hpo:0025356
233810,hpo:0000691
233810,hpo:0000687
233810,hpo:0001338
233810,hpo:0000964
223350,hpo:0000007
223350,hpo:0001903
223350,hpo:0004808
223350,hpo:0001954
223350,hpo:0001684
223350,hpo:0001004
223350,hpo:0040235
166760,hpo:0000403
166760,hpo:0010982
125853,hpo:0000006
125853,hpo:0000855
125853,hpo:0005978
125853,hpo:0003584
125853,hpo:0031820
125851,hpo:0000006
125851,hpo:0004904
600496,hpo:0000006
600496,hpo:0003593
600496,hpo:0003074
600496,hpo:0005978
600496,hpo:0004904
125850,hpo:0000006
125850,hpo:0004904
125850,hpo:0031284
212350,hpo:0000007
212350,hpo:0000639
212350,hpo:0001270
212350,hpo:0001290
212350,hpo:0003828
212350,hpo:0001510
212350,hpo:0001252
212350,hpo:0000545
212350,hpo:0000486
212350,hpo:0001324
212350,hpo:0002093
212350,hpo:0003593
212350,hpo:0003737
212350,hpo:0002151
212350,hpo:0000519
212350,hpo:0003546
212350,hpo:0001873
212350,hpo:0003198
212350,hpo:0001639
212350,hpo:0003388
212350,hpo:0003535
212350,hpo:0000501
212350,hpo:0004901
212350,hpo:0012378
212112,hpo:0000006
212112,hpo:0000007
212112,hpo:0000508
212112,hpo:0001249
212112,hpo:0001644
212112,hpo:0000894
212112,hpo:0000278
212112,hpo:0001653
212112,hpo:0000815
212112,hpo:0009125
212112,hpo:0200021
212130,hpo:0000007
212130,hpo:0003198
212130,hpo:0001670
208750,hpo:0000407
208750,hpo:0000007
208750,hpo:0001249
208750,hpo:0001251
208750,hpo:0001638
208750,hpo:0000951
226000,hpo:0000028
226000,hpo:0000007
226000,hpo:0001999
226000,hpo:0001425
226000,hpo:0001638
226000,hpo:0001706
226000,hpo:0001635
226000,hpo:0000707
246300,hpo:0000006
246300,hpo:0000007
246300,hpo:0002715
188050,hpo:0000006
188050,hpo:0001907
188050,hpo:0002204
