diseaseid,hpoid
102300,mesh:D015259
102300,mesh:D012148
102300,mesh:D006306
102300,mesh:D002940
102300,mesh:D007980
102300,mesh:D004298
102300,mesh:D012890
102300,mesh:D014446
102300,mesh:D012106
102300,mesh:D003430
102300,mesh:D001145
102300,mesh:D035925
102300,mesh:D016014
102300,mesh:D006212
102300,mesh:D004916
102300,mesh:D011644
102300,mesh:D009068
102300,mesh:D010298
102300,mesh:D007501
102300,mesh:D013378
102300,mesh:D017286
102300,mesh:D005293
102300,mesh:D001289
102300,mesh:D018153
102300,mesh:D006304
102300,mesh:D027682
102300,mesh:D012893
102300,mesh:D018798
102300,mesh:D006993
102300,mesh:D019189
102300,mesh:D033862
102300,mesh:D005715
102300,mesh:D042282
102300,mesh:D020919
102300,mesh:D048671
102300,mesh:D004873
102300,mesh:D018491
102300,mesh:D007174
102300,mesh:D009294
137580,mesh:D016022
137580,mesh:D015810
137580,mesh:D000328
137580,mesh:D005091
137580,mesh:D007558
137580,mesh:D016133
137580,mesh:D008969
137580,mesh:D002880
137580,mesh:D012008
137580,mesh:D007223
137580,mesh:D000595
137580,mesh:D005192
137580,mesh:D009035
137580,mesh:D006579
137580,mesh:D002874
137580,mesh:D006801
137580,mesh:D020022
137580,mesh:D007446
137580,mesh:D010641
137580,mesh:D001483
137580,mesh:D002878
137580,mesh:D018895
137580,mesh:D005819
137580,mesh:D017668
137580,mesh:D005838
137580,mesh:D012307
137580,mesh:D004195
137580,mesh:D000293
137580,mesh:D011110
137580,mesh:D002872
137580,mesh:D015415
137580,mesh:D010375
137580,mesh:D001526
137580,mesh:D035781
137580,mesh:D011795
137580,mesh:D015139
137580,mesh:D003001
137580,mesh:D017422
137580,mesh:D001921
137580,mesh:D014158
137580,mesh:D000818
137580,mesh:D008875
137580,mesh:D002871
137580,mesh:D014644
137580,mesh:D000368
137580,mesh:D005799
137580,mesh:D051379
137580,mesh:D004252
137580,mesh:D015995
137580,mesh:D008040
137580,mesh:D005500
137580,mesh:D014157
137580,mesh:D009419
137580,mesh:D008214
137580,mesh:D009154
137580,mesh:D006239
137580,mesh:D012016
137580,mesh:D007422
137580,mesh:D002675
137580,mesh:D002648
137580,mesh:D016368
137580,mesh:D015894
137580,mesh:D000367
137580,mesh:D014427
137580,mesh:D055815
137580,mesh:D055106
137580,mesh:D005808
137580,mesh:D004200
137580,mesh:D012720
137580,mesh:D002893
137580,mesh:D018076
137580,mesh:D011336
137580,mesh:D012984
137580,mesh:D004739
137580,mesh:D002897
137580,mesh:D002883
137580,mesh:D014430
137580,mesh:D002894
137580,mesh:D020641
137580,mesh:D018628
137580,mesh:D000483
137580,mesh:D015331
137580,mesh:D017403
137580,mesh:D004247
137580,mesh:D001931
137580,mesh:D044465
137580,mesh:D011506
137580,mesh:D008126
137580,mesh:D000369
137580,mesh:D016415
137580,mesh:D025063
137580,mesh:D012091
137580,mesh:D002869
137580,mesh:D012737
137580,mesh:D002896
137580,mesh:D018740
137580,mesh:D012689
137580,mesh:D005796
137580,mesh:D018709
137580,mesh:D013223
137580,mesh:D015994
137580,mesh:D008957
137580,mesh:D002882
137580,mesh:D002908
137580,mesh:D000015
137580,mesh:D010290
137580,mesh:D012333
137580,mesh:D007438
137580,mesh:D017421
137580,mesh:D044469
137580,mesh:D002898
137580,mesh:D002886
137580,mesh:D011379
137580,mesh:D012744
137580,mesh:D008099
137580,mesh:D005006
137580,mesh:D011247
137580,mesh:D017404
137580,mesh:D006720
137580,mesh:D002877
137580,mesh:D018389
137580,mesh:D007621
137580,mesh:D003951
137580,mesh:D014429
137580,mesh:D005190
137580,mesh:D009679
137580,mesh:D009765
137580,mesh:D009656
137580,mesh:D001927
137580,mesh:D020133
137580,mesh:D009426
137580,mesh:D020189
137580,mesh:D004198
137580,mesh:D015342
137580,mesh:D005787
137580,mesh:D011401
137580,mesh:D005786
137580,mesh:D002884
137580,mesh:D009422
137580,mesh:D012189
137580,mesh:D009006
137580,mesh:D008954
137580,mesh:D004912
137580,mesh:D001007
137580,mesh:D030342
137580,mesh:D002531
137580,mesh:D011792
137580,mesh:D019457
137580,mesh:D005820
137580,mesh:D008279
137580,mesh:D005826
137580,mesh:D002851
137580,mesh:D005215
137580,mesh:D010976
137580,mesh:D020732
137580,mesh:D020413
137580,mesh:D016013
137580,mesh:D020161
137580,mesh:D002899
137580,mesh:D009069
137580,mesh:D002876
137580,mesh:D009043
137580,mesh:D008869
137580,mesh:D008487
137580,mesh:D002657
137580,mesh:D005828
137580,mesh:D007407
137580,mesh:D009460
137580,mesh:D007585
137580,mesh:D012150
137580,mesh:D012075
137580,mesh:D015897
137580,mesh:D000704
137580,mesh:D008565
137580,mesh:D004843
137580,mesh:D014178
137580,mesh:D010865
137580,mesh:D018570
137580,mesh:D002659
137580,mesh:D019683
137580,mesh:D050956
137580,mesh:D015321
137580,mesh:D024101
137580,mesh:D006220
137580,mesh:D016555
137580,mesh:D007700
137580,mesh:D014364
137580,mesh:D008677
137580,mesh:D015723
137580,mesh:D018244
137580,mesh:D002890
137580,mesh:D002895
137580,mesh:D001519
137580,mesh:D007003
137580,mesh:D012306
137580,mesh:D012107
137580,mesh:D020451
137580,mesh:D002889
137580,mesh:D000375
137580,mesh:D001321
137580,mesh:D000437
137580,mesh:D020440
137580,mesh:D013019
137580,mesh:D009626
137580,mesh:D004261
137580,mesh:D005625
137580,mesh:D000374
137580,mesh:D002887
137580,mesh:D019655
137580,mesh:D002170
137580,mesh:D019964
137580,mesh:D012701
137580,mesh:D005809
137580,mesh:D013064
137580,mesh:D012148
137580,mesh:D006306
137580,mesh:D020131
137580,mesh:D016172
137580,mesh:D005189
137580,mesh:D009638
137580,mesh:D004298
137580,mesh:D015899
137580,mesh:D007859
137580,mesh:D003360
137580,mesh:D001724
137580,mesh:D004299
137580,mesh:D049671
137580,mesh:D007091
137580,mesh:D010361
137580,mesh:D012106
137580,mesh:D004410
137580,mesh:D001523
137580,mesh:D019966
137580,mesh:D002421
137580,mesh:D013624
137580,mesh:D009483
137580,mesh:D012453
137580,mesh:D003342
137580,mesh:D002415
137580,mesh:D007041
137580,mesh:D017063
137580,mesh:D009462
137580,mesh:D001923
137580,mesh:D020223
137580,mesh:D020323
137580,mesh:D014150
137580,mesh:D009771
137580,mesh:D010450
137580,mesh:D005879
137580,mesh:D005220
137580,mesh:D003192
137580,mesh:D011954
137580,mesh:D011759
137580,mesh:D022202
137580,mesh:D018492
137580,mesh:D001289
137580,mesh:D011955
137580,mesh:D001722
137580,mesh:D017448
137580,mesh:D001549
137580,mesh:D011869
137580,mesh:D001435
137580,mesh:D007049
137580,mesh:D006916
137580,mesh:D020389
137580,mesh:D049031
137580,mesh:D000697
137580,mesh:D006719
137580,mesh:D013342
137580,mesh:D012652
137580,mesh:D014754
137580,mesh:D014705
137580,mesh:D003913
137580,mesh:D012660
137580,mesh:D010640
137580,mesh:D013981
137580,mesh:D004269
137580,mesh:D005197
137580,mesh:D008032
137580,mesh:D002097
137580,mesh:D011699
137580,mesh:D012725
137580,mesh:D010698
137580,mesh:D000661
137580,mesh:D016728
137580,mesh:D000228
137580,mesh:D007370
137580,mesh:D010713
137580,mesh:D014366
137580,mesh:D000300
137580,mesh:D005824
137580,mesh:D008774
137580,mesh:D007062
137580,mesh:D017447
137580,mesh:D012958
137580,mesh:D015102
137580,mesh:D017367
137580,mesh:D010200
137580,mesh:D007297
137580,mesh:D001521
137580,mesh:D000316
137580,mesh:D006640
137580,mesh:D011570
137580,mesh:D013475
137580,mesh:D000786
137580,mesh:D005084
137580,mesh:D009769
137580,mesh:D011574
137580,mesh:D011613
137580,mesh:D005219
137580,mesh:D008093
137580,mesh:D010262
