?diseaseid	?hpoid
"102730"	"0000006"
"102730"	"0001878"
"102730"	"0002149"
"102730"	"0004446"
"102730"	"0004823"
"102730"	"0030270"
"102800"	"0000006"
"102800"	"0001930"
"102900"	"0000006"
"102900"	"0001901"
"102900"	"0030271"
"103050"	"0000343"
"103050"	"0000463"
"103050"	"0000486"
"103050"	"0000007"
"103050"	"0000252"
"103050"	"0001249"
"103050"	"0001250"
"103050"	"0001263"
"103050"	"0001290"
"103050"	"0000248"
"103050"	"0000369"
"103050"	"0003196"
"103050"	"0001336"
"103050"	"0000154"
"103050"	"0000219"
"103050"	"0000319"
"103050"	"0000639"
"103050"	"0000717"
"103050"	"0000718"
"103050"	"0000742"
"103050"	"0000748"
"103050"	"0000750"
"103050"	"0000752"
"103050"	"0000817"
"103050"	"0001272"
"103050"	"0001348"
"103050"	"0001510"
"103050"	"0002059"
"103050"	"0002066"
"103050"	"0002179"
"103050"	"0002540"
"103050"	"0003202"
"103050"	"0003429"
"103050"	"0003593"
"103050"	"0005487"
"103050"	"0006808"
"103050"	"0011344"
"103050"	"0040082"
"103100"	"0000006"
"103100"	"0001265"
"103100"	"0012074"
"103200"	"0000006"
"103200"	"0003828"
"103200"	"0000716"
"103200"	"0000739"
"103200"	"0001513"
"103200"	"0002019"
"103200"	"0002360"
"103200"	"0002829"
"103200"	"0003270"
"103200"	"0003596"
"103200"	"0007596"
"103200"	"0012378"
"103200"	"0012532"
"103230"	"0000006"
"103230"	"0000846"
"103230"	"0000953"
"103230"	"0001939"
"103230"	"0012605"
"103285"	"0000202"
"103285"	"0000006"
"103285"	"0001770"
"103285"	"0000668"
"103285"	"0000509"
"103285"	"0000579"
"103285"	"0000677"
"103285"	"0000691"
"103285"	"0000958"
"103285"	"0000963"
"103285"	"0000964"
"103285"	"0000968"
"103285"	"0000992"
"103285"	"0001171"
"103285"	"0001480"
"103285"	"0001803"
"103285"	"0001839"
"103285"	"0002209"
"103285"	"0002215"
"103285"	"0002286"
"103285"	"0002293"
"103285"	"0002557"
"103285"	"0002561"
"103285"	"0003187"
"103285"	"0004334"
"103285"	"0006357"
"103285"	"0006610"
"103285"	"0007455"
"103300"	"0000006"
"103300"	"0000347"
"103300"	"0000286"
"103300"	"0000160"
"103300"	"0009776"
"103300"	"0001171"
"103300"	"0000171"
"103300"	"0000278"
"103300"	"0003745"
"103300"	"0012730"
"103400"	"0000006"
"103400"	"0009775"
"103400"	"0031009"
"103420"	"0000006"
"103420"	"0000522"
"103420"	"0000584"
"103420"	"0000613"
"103420"	"0007732"
"103420"	"0007820"
"103470"	"0000486"
"103470"	"0001417"
"103470"	"0000006"
"103470"	"0000639"
"103470"	"0000613"
"103470"	"0000407"
"103470"	"0000505"
"103470"	"0000540"
"103470"	"0001003"
"103470"	"0001010"
"103470"	"0001093"
"103470"	"0001107"
"103470"	"0001756"
"103470"	"0005592"
"103470"	"0007663"
"103470"	"0007750"
"103500"	"0000006"
"103500"	"0000635"
"103500"	"0002226"
"103500"	"0002227"
"103500"	"0007513"
"103500"	"0007894"
"103500"	"0008527"
"103500"	"0008619"
"103580"	"0001156"
"103580"	"0000006"
"103580"	"0001249"
"103580"	"0001250"
"103580"	"0003812"
"103580"	"0005280"
"103580"	"0000470"
"103580"	"0000684"
"103580"	"0004322"
"103580"	"0000135"
"103580"	"0003165"
"103580"	"0010049"
"103580"	"0010743"
"103580"	"0000311"
"103580"	"0000293"
"103580"	"0000939"
"103580"	"0000639"
"103580"	"0001513"
"103580"	"0000518"
"103580"	"0000821"
"103580"	"0000852"
"103580"	"0001831"
"103580"	"0002135"
"103580"	"0002684"
"103580"	"0002905"
"103580"	"0003456"
"103580"	"0003472"
"103580"	"0006297"
"103580"	"0006960"
"103580"	"0009381"
"103580"	"0100543"
"103780"	"0000707"
"103780"	"0030955"
"103900"	"0000006"
"103900"	"0000822"
"103900"	"0000079"
"103900"	"0000840"
"103900"	"0000859"
"103900"	"0003351"
"103900"	"0003674"
"103900"	"0008221"
"103920"	"0000006"
"103920"	"0002715"
"104000"	"0001803"
"104000"	"0001426"
"104000"	"0002229"
"104000"	"0002289"
"104000"	"0002960"
"104000"	"0007418"
"104000"	"0030804"
"104100"	"0000006"
"104100"	"0001596"
"104100"	"0003593"
"104100"	"0000972"
"104100"	"0000982"
"104100"	"0001000"
"104100"	"0001820"
"104100"	"0002164"
"104100"	"0002299"
"104100"	"0008391"
"104110"	"0000006"
"104110"	"0002232"
"104130"	"0000006"
"104130"	"0001250"
"104130"	"0001256"
"104130"	"0002289"
"104130"	"0000704"
"104130"	"0005597"
"104200"	"0000006"
"104200"	"0000822"
"104200"	"0000407"
"104200"	"0000083"
"104200"	"0000093"
"104200"	"0000099"
"104200"	"0000100"
"104200"	"0000121"
"104200"	"0000545"
"104200"	"0000790"
"104200"	"0001134"
"104200"	"0001142"
"104200"	"0002148"
"104200"	"0002157"
"104200"	"0003676"
"104200"	"0003774"
"104200"	"0004722"
"104200"	"0030034"
"104290"	"0000006"
"104290"	"0001249"
"104290"	"0000639"
"104290"	"0001266"
"104290"	"0001268"
"104290"	"0001332"
"104290"	"0002069"
"104290"	"0012194"
"104290"	"0200072"
"104300"	"0000006"
"104300"	"0001425"
"104300"	"0000726"
"104300"	"0001300"
"104300"	"0002185"
"104300"	"0002423"
"104300"	"0002511"
"104300"	"0410054"
"104310"	"0000726"
"104310"	"0001300"
"104310"	"0002185"
"104310"	"0002423"
"104310"	"0002511"
"104310"	"0003584"
"104350"	"0000316"
"104350"	"0000431"
"104350"	"0000494"
"104350"	"0000508"
"104350"	"0001159"
"104350"	"0000126"
"104350"	"0000767"
"104350"	"0001374"
"104350"	"0001643"
"104350"	"0000006"
"104350"	"0000238"
"104350"	"0005280"
"104350"	"0000369"
"104350"	"0000218"
"104350"	"0000286"
"104350"	"0002650"
"104350"	"0001537"
"104350"	"0002561"
"104350"	"0001634"
"104350"	"0002937"
"104350"	"0002967"
"104350"	"0008705"
"104400"	"0009827"
"104500"	"0000006"
"104500"	"0000705"
"104510"	"0000006"
"104510"	"0000705"
"104510"	"0000679"
"104530"	"0000006"
"104530"	"0000705"
"104530"	"0000679"
"104530"	"0006311"
"104570"	"0000006"
"104570"	"0000958"
"104570"	"0000682"
"104570"	"0000966"
"104570"	"0001051"
"104570"	"0001595"
"104570"	"0001806"
"104570"	"0006291"
"104600"	"0000765"
"104600"	"0000006"
"104600"	"0002893"
"104600"	"0100829"
"104600"	"0000869"
"104600"	"0002690"
"105120"	"0000006"
"105120"	"0001638"
"105120"	"0000083"
"105120"	"0000100"
"105120"	"0000973"
"105120"	"0001149"
"105120"	"0001271"
"105120"	"0001283"
"105120"	"0001438"
"105120"	"0003216"
"105120"	"0003581"
"105120"	"0030843"
"105150"	"0000006"
"105150"	"0000726"
"105150"	"0003216"
"105150"	"0001297"
"105150"	"0001342"
"105150"	"0002170"
"105200"	"0002240"
"105200"	"0000006"
"105200"	"0000822"
"105200"	"0001744"
"105200"	"0000093"
"105200"	"0000100"
"105200"	"0000790"
"105200"	"0003216"
"105200"	"0000112"
"105200"	"0000969"
"105200"	"0000988"
"105200"	"0001396"
"105210"	"0000006"
"105210"	"0001250"
"105210"	"0003812"
"105210"	"0000365"
"105210"	"0001251"
"105210"	"0002315"
"105210"	"0001638"
"105210"	"0002014"
"105210"	"0000639"
"105210"	"0001265"
"105210"	"0002019"
"105210"	"0000505"
"105210"	"0003676"
"105210"	"0000726"
"105210"	"0001271"
"105210"	"0003581"
"105210"	"0000020"
"105210"	"0000802"
"105210"	"0001257"
"105210"	"0001260"
"105210"	"0001269"
"105210"	"0001324"
"105210"	"0001337"
"105210"	"0001640"
"105210"	"0002401"
"105210"	"0002922"
"105210"	"0003477"
"105210"	"0004926"
"105210"	"0007841"
"105210"	"0010550"
"105210"	"0011034"
"105210"	"0012185"
"105250"	"0000006"
"105250"	"0000958"
"105250"	"0000973"
"105250"	"0001149"
"105250"	"0003581"
"105250"	"0011034"
"105250"	"0000989"
"105250"	"0001291"
"105250"	"0040189"
"105250"	"0100725"
"105300"	"0000006"
"105300"	"0001249"
"105300"	"0000639"
"105300"	"0003202"
"105300"	"0001332"
"105300"	"0000020"
"105300"	"0001258"
"105300"	"0002607"
"105400"	"0000007"
"105400"	"0000006"
"105400"	"0001425"
"105400"	"0003202"
"105400"	"0001257"
"105400"	"0001324"
"105400"	"0001347"
"105400"	"0002314"
"105400"	"0002380"
"105400"	"0002398"
"105400"	"0003394"
"105400"	"0007024"
"105400"	"0007354"
"105400"	"0010535"
"105500"	"0000006"
"105500"	"0000726"
"105500"	"0001300"
"105500"	"0001283"
"105500"	"0001324"
"105500"	"0003394"
"105500"	"0007354"
"105500"	"0002366"
"105500"	"0003470"
"105550"	"0000006"
"105550"	"0002059"
"105550"	"0003202"
"105550"	"0000716"
"105550"	"0001300"
"105550"	"0003581"
"105550"	"0001260"
"105550"	"0001324"
"105550"	"0007354"
"105550"	"0002366"
"105550"	"0000605"
"105550"	"0000738"
"105550"	"0000741"
"105550"	"0000746"
"105550"	"0002145"
"105550"	"0002171"
"105550"	"0002186"
"105550"	"0002273"
"105550"	"0002385"
"105550"	"0002442"
"105550"	"0002529"
"105550"	"0003678"
"105550"	"0007308"
"105563"	"0000006"
"105563"	"0002014"
"105563"	"0002019"
"105563"	"0002607"
"105563"	"0012450"
"105563"	"0040183"
"105565"	"0000006"
"105565"	"0002019"
"105565"	"0003198"
"105565"	"0004378"
"105570"	"0000006"
"105570"	"0000707"
"105580"	"0000006"
"105580"	"0006763"
"105600"	"0001972"
"105600"	"0000006"
"105600"	"0000952"
"105600"	"0004810"
"105600"	"0012543"
"105650"	"0000175"
"105650"	"0000204"
"105650"	"0000316"
"105650"	"0000486"
"105650"	"0000494"
"105650"	"0000006"
"105650"	"0000252"
"105650"	"0001249"
"105650"	"0001629"
"105650"	"0001631"
"105650"	"0000347"
"105650"	"0000470"
"105650"	"0000270"
"105650"	"0002697"
"105650"	"0004322"
"105650"	"0000218"
"105650"	"0001511"
"105650"	"0001508"
"105650"	"0009778"
"105650"	"0030270"
"105650"	"0003593"
"105650"	"0000278"
"105650"	"0004810"
"105650"	"0000457"
"105650"	"0000465"
"105650"	"0000774"
"105650"	"0000878"
"105650"	"0000946"
"105650"	"0000980"
"105650"	"0001199"
"105650"	"0001622"
"105650"	"0001635"
"105650"	"0001680"
"105650"	"0001873"
"105650"	"0001875"
"105650"	"0001894"
"105650"	"0001896"
"105650"	"0002669"
"105650"	"0002863"
"105650"	"0002984"
"105650"	"0003003"
"105650"	"0008437"
"105650"	"0008447"
"105650"	"0008475"
"105650"	"0009777"
"105650"	"0009944"
"105800"	"0000006"
"105800"	"0002170"
"105800"	"0004944"
"105805"	"0000006"
"105805"	"0002617"
"105805"	"0010438"
"105830"	"0000327"
"105830"	"0000486"
"105830"	"0000006"
"105830"	"0001250"
"105830"	"0001252"
"105830"	"0001263"
"105830"	"0001290"
"105830"	"0000248"
"105830"	"0001270"
"105830"	"0000303"
"105830"	"0000635"
"105830"	"0002650"
"105830"	"0000154"
"105830"	"0000639"
"105830"	"0000752"
"105830"	"0001513"
"105830"	"0002019"
"105830"	"0002286"
"105830"	"0003745"
"105830"	"0001010"
"105830"	"0000545"
"105830"	"0001347"
"105830"	"0000158"
"105830"	"0000490"
"105830"	"0000577"
"105830"	"0000687"
"105830"	"0000749"
"105830"	"0001344"
"105830"	"0002120"
"105830"	"0002136"
"105830"	"0002307"
"105830"	"0002312"
"105830"	"0002353"
"105830"	"0005469"
"105830"	"0005484"
"105830"	"0006887"
"105830"	"0006979"
"105830"	"0007240"
"105830"	"0008872"
"105830"	"0010808"
"105830"	"0010864"
"105830"	"0200085"
"105835"	"0004322"
"105835"	"0001187"
"105835"	"0001216"
"105835"	"0003088"
"105835"	"0008843"
"105835"	"0009193"
"106050"	"0000006"
"106050"	"0000962"
"106050"	"0003621"
"106050"	"0003745"
"106050"	"0003677"
"106070"	"0000006"
"106070"	"0000790"
"106070"	"0001269"
"106070"	"0001028"
"106070"	"0002239"
"106070"	"0002277"
"106100"	"0000007"
"106100"	"0000006"
"106100"	"0002014"
"106100"	"0002960"
"106100"	"0003477"
"106100"	"0001600"
"106100"	"0002013"
"106100"	"0002027"
"106100"	"0005225"
"106100"	"0010783"
"106100"	"0011855"
"106100"	"0012027"
"106100"	"0040078"
"106100"	"0100665"
"106190"	"0000007"
"106190"	"0000970"
"106190"	"0002046"
"106190"	"0007459"
"106210"	"0000006"
"106210"	"0002079"
"106210"	"0002126"
"106210"	"0000639"
"106210"	"0007750"
"106210"	"0000518"
"106210"	"0000501"
"106210"	"0000526"
"106210"	"0000609"
"106210"	"0001952"
"106210"	"0007759"
"106210"	"0031883"
"106220"	"0000006"
"106220"	"0000518"
"106220"	"0000501"
"106220"	"0000526"
"106220"	"0006498"
"106230"	"0000006"
"106230"	"0000518"
"106230"	"0000526"
"106230"	"0000482"
"106240"	"0000006"
"106240"	"0012378"
"106240"	"0009916"
"106250"	"0000175"
"106250"	"0000204"
"106250"	"0000006"
"106250"	"0009755"
"106260"	"0000175"
"106260"	"0000204"
"106260"	"0000327"
"106260"	"0000431"
"106260"	"0001643"
"106260"	"0000006"
"106260"	"0001629"
"106260"	"0002558"
"106260"	"0000405"
"106260"	"0000668"
"106260"	"0000047"
"106260"	"0000953"
"106260"	"0000509"
"106260"	"0000707"
"106260"	"0000982"
"106260"	"0002232"
"106260"	"0000687"
"106260"	"0000970"
"106260"	"0009755"
"106260"	"0000054"
"106260"	"0000300"
"106260"	"0000413"
"106260"	"0000498"
"106260"	"0000561"
"106260"	"0000564"
"106260"	"0000653"
"106260"	"0000698"
"106260"	"0001592"
"106260"	"0001795"
"106260"	"0001798"
"106260"	"0002231"
"106260"	"0004691"
"106260"	"0008404"
"106260"	"0031088"
"106280"	"0000006"
"106280"	"0010296"
"106300"	"0001425"
"106300"	"0001426"
"106300"	"0008843"
"106300"	"0001659"
"106300"	"0002037"
"106300"	"0002808"
"106300"	"0003418"
"106300"	"0003765"
"106300"	"0011675"
"106300"	"0012122"
"106300"	"0012317"
"106300"	"0100686"
"106400"	"0000006"
"106400"	"0007508"
"106400"	"0008442"
"106500"	"0000006"
"106500"	"0010783"
"106600"	"0000006"
"106600"	"0000668"
"106700"	"0000006"
"106700"	"0002092"
"106700"	"0002205"
"106700"	"0005160"
"106700"	"0008386"
"106700"	"0009884"
"106750"	"0000006"
"106750"	"0000958"
"106750"	"0001798"
"106750"	"0007471"
"106900"	"0000006"
"106900"	"0000968"
"106900"	"0001171"
"106900"	"0001798"
"106900"	"0010048"
"106990"	"0000006"
"106990"	"0010743"
"106990"	"0000968"
"106990"	"0001171"
"106990"	"0002164"
"106990"	"0001798"
"106990"	"0008404"
"106990"	"0005831"
"106990"	"0009835"
"106995"	"0000494"
"106995"	"0000006"
"106995"	"0000218"
"106995"	"0002164"
"106995"	"0001798"
"106995"	"0008404"
"106995"	"0000322"
"106995"	"0000426"
"106995"	"0000430"
"106995"	"0000448"
"106995"	"0005793"
"106995"	"0006118"
"106995"	"0009237"
"106995"	"0009943"
"107000"	"0001374"
"107000"	"0000006"
"107000"	"0002164"
"107000"	"0001798"
"107000"	"0008404"
"107000"	"0009884"
"107100"	"0002023"
"107100"	"0000006"
"107100"	"0000143"
"107200"	"0000006"
"107200"	"0000458"
"107250"	"0000006"
"107250"	"0007759"
"107250"	"0000482"
"107250"	"0000659"
"107250"	"0001115"
"107250"	"0007700"
"107250"	"0007906"
"107320"	"0000006"
"107320"	"0001973"
"107320"	"0000491"
"107320"	"0000541"
"107320"	"0000572"
