?diseaseid	?meshid
"601367"	D017202
"601367"	D020413
"601367"	D055106
"601367"	D047369
"601367"	D001253
"601367"	D001929
"601367"	D002536
"601367"	D002545
"601367"	D002561
"601367"	D003071
"601367"	D003704
"601367"	D003920
"601367"	D005069
"601367"	D009131
"601367"	D015415
"601367"	D016016
"601367"	D018528
"601367"	D020521
"601367"	D045744
"601367"	D051880
"601367"	D056726
"601367"	D001056
"601367"	D007391
"601367"	D002546
"601367"	D007055
"601367"	D002986
"601367"	D009412
"601367"	D015982
"601367"	D035683
"601367"	D016376
"601367"	D012606
"601367"	D015901
"601367"	D018810
"601367"	D020662
"601367"	D001795
"601367"	D009320
"601367"	D019010
"601367"	D052250
"601367"	D002537
"601367"	D003324
"601367"	D016208
"601367"	D020097
"601367"	D053305
"601367"	D011955
"601367"	D015337
"601367"	D019161
"601367"	D019707
"601367"	D032389
"601367"	D050197
"601367"	D054390
"601367"	D007473
"601367"	D017063
"601367"	D018408
"601367"	D015847
"601367"	D024821
"601367"	D002097
"601367"	D004851
"601367"	D016329
"601367"	D002196
"601367"	D007511
"601367"	D005167
"601367"	D027425
"601367"	D017078
"601367"	D017540
"601367"	D007004
"601367"	D005905
"601367"	D024661
"601367"	D064233
"601367"	D017539
"601367"	D011493
"601367"	D019007
"601367"	D011918
"601367"	D011921
"601367"	D042683
"601367"	D064067
"601367"	D018793
"601367"	D039421
"601367"	D020742
"601367"	D058927
"601367"	D007975
"157300"	D000293
"157300"	D000328
"157300"	D002648
"157300"	D002675
"157300"	D005799
"157300"	D005808
"157300"	D006801
"157300"	D008875
"157300"	D010375
"157300"	D000367
"157300"	D000368
"157300"	D000369
"157300"	D000483
"157300"	D000818
"157300"	D000894
"157300"	D002894
"157300"	D004200
"157300"	D005190
"157300"	D005387
"157300"	D005787
"157300"	D005838
"157300"	D008126
"157300"	D008957
"157300"	D009426
"157300"	D010641
"157300"	D011110
"157300"	D011433
"157300"	D012306
"157300"	D012307
"157300"	D012737
"157300"	D013997
"157300"	D014481
"157300"	D016022
"157300"	D018740
"157300"	D018895
"157300"	D020022
"157300"	D020641
"157300"	D051379
"157300"	D002869
"157300"	D002874
"157300"	D005826
"157300"	D012042
"157300"	D025063
"157300"	D001921
"157300"	D004827
"157300"	D015398
"157300"	D001783
"157300"	D004305
"157300"	D005996
"157300"	D006720
"157300"	D007262
"157300"	D008800
"157300"	D008810
"157300"	D008995
"157300"	D012016
"157300"	D012039
"157300"	D014664
"157300"	D016017
"157300"	D017207
"157300"	D044469
"157300"	D051381
"157300"	D002560
"157300"	D003718
"157300"	D007601
"157300"	D011795
"157300"	D012720
"157300"	D012727
"157300"	D015995
"157300"	D016001
"157300"	D016009
"157300"	D012723
"157300"	D002531
"157300"	D003625
"157300"	D017668
"157300"	D013223
"157300"	D004268
"157300"	D004311
"157300"	D006306
"157300"	D009419
"157300"	D009474
"157300"	D015897
"157300"	D018709
"157300"	D009119
"157300"	D006710
"157300"	D015894
"157300"	D000344
"157300"	D003433
"157300"	D014665
"157300"	D017677
"157300"	D000704
"157300"	D003866
"157300"	D009478
"157300"	D010551
"157300"	D011985
"157300"	D019295
"157300"	D040641
"157300"	D055106
"157300"	D004032
"157300"	D015899
"157300"	D020325
"157300"	D001253
"157300"	D005625
"157300"	D009479
"157300"	D010880
"157300"	D012984
"157300"	D013449
"157300"	D013764
"157300"	D021381
"157300"	D007055
"157300"	D008264
"157300"	D009412
"157300"	D011897
"157300"	D012717
"157300"	D019001
"157300"	D020170
"157300"	D056426
"157300"	D006261
"157300"	D042965
"157300"	D000208
"157300"	D008881
"157300"	D013876
"157300"	D004550
"157300"	D014653
"157300"	D005821
"157300"	D007211
"157300"	D016328
"157300"	D013181
"157300"	D017630
"157300"	D004388
"157300"	D011799
"157300"	D005163
"157300"	D020326
"157300"	D004347
"157300"	D012959
"157300"	D012668
"157300"	D014276
"157300"	D020672
"157300"	D052247
"157300"	D014660
"157300"	D010879
"157300"	D015740
"157300"	D012423
"157300"	D014504
"157300"	D013373
"157300"	D010627
"157300"	D003533
"157300"	D014839
"157300"	D024243
"157300"	D002099
"157300"	D002611
"157300"	D002957
"157300"	D004082
"157300"	D008784
"157300"	D009325
"157300"	D010918
"157300"	D013466
"157300"	D014439
"157300"	D015239
"157300"	D017366
"157300"	D017371
"157300"	D017585
"157300"	D018015
"157300"	D018170
"157300"	D018672
"157300"	D019731
"157300"	D020030
"157300"	D020768
"157300"	D026423
"125310"	D000293
"125310"	D000328
"125310"	D005799
"125310"	D006579
"125310"	D006801
"125310"	D008875
"125310"	D010375
"125310"	D013577
"125310"	D000367
"125310"	D000368
"125310"	D000369
"125310"	D000483
"125310"	D000818
"125310"	D001157
"125310"	D002888
"125310"	D005109
"125310"	D005190
"125310"	D005387
"125310"	D005787
"125310"	D005838
"125310"	D006973
"125310"	D008040
"125310"	D008126
"125310"	D008957
"125310"	D010641
"125310"	D011110
"125310"	D011247
"125310"	D011446
"125310"	D012189
"125310"	D012307
"125310"	D012867
"125310"	D012907
"125310"	D013997
"125310"	D014057
"125310"	D014644
"125310"	D015331
"125310"	D015994
"125310"	D016019
"125310"	D016133
"125310"	D018740
"125310"	D018895
"125310"	D020022
"125310"	D051379
"125310"	D002869
"125310"	D002874
"125310"	D005500
"125310"	D008854
"125310"	D009154
"125310"	D011379
"125310"	D025063
"125310"	D001921
"125310"	D001927
"125310"	D002540
"125310"	D004252
"125310"	D004827
"125310"	D005192
"125310"	D001706
"125310"	D000375
"125310"	D000595
"125310"	D003545
"125310"	D004247
"125310"	D005091
"125310"	D005819
"125310"	D005820
"125310"	D006239
"125310"	D006439
"125310"	D006580
"125310"	D007564
"125310"	D007723
"125310"	D008969
"125310"	D011995
"125310"	D017354
"125310"	D000911
"125310"	D001120
"125310"	D001284
"125310"	D001317
"125310"	D001344
"125310"	D003105
"125310"	D003430
"125310"	D009483
"125310"	D009929
"125310"	D011248
"125310"	D011518
"125310"	D011795
"125310"	D012008
"125310"	D013116
"125310"	D015995
"125310"	D018570
"125310"	D019943
"125310"	D020125
"125310"	D007839
"125310"	D008279
"125310"	D010291
"125310"	D010523
"125310"	D012160
"125310"	D013497
"125310"	D014786
"125310"	D017384
"125310"	D017386
"125310"	D017668
"125310"	D018450
"125310"	D007558
"125310"	D009896
"125310"	D011569
"125310"	D018244
"125310"	D011956
"125310"	D018703
"125310"	D009474
"125310"	D010292
"125310"	D011237
"125310"	D015897
"125310"	D018709
"125310"	D003072
"125310"	D006710
"125310"	D001766
"125310"	D003337
"125310"	D005060
"125310"	D005858
"125310"	D002544
"125310"	D017677
"125310"	D004815
"125310"	D012680
"125310"	D019964
"125310"	D004276
"125310"	D006429
"125310"	D020325
"125310"	D001523
"125310"	D002536
"125310"	D002543
"125310"	D002545
"125310"	D002561
"125310"	D003198
"125310"	D003704
