geneid1,geneid2
2534,6197
10286,6426
6640,7336
350,7804
2869,28964
2638,718
6129,6206
5094,81887
386676,55668
5092,63827
10006,8503
5691,5719
6597,6604
7024,85479
6155,6193
6147,7150
63875,64960
5243,5566
4702,4720
50628,79833
5970,6774
8764,8841
3612,5336
10254,56893
11091,5431
10933,90933
6160,6205
6198,80347
6015,7703
140032,6204
23057,5167
333,53942
369,80124
166,54955
10787,23191
2033,8290
7133,7133
4105,56204
51593,6045
3029,7001
3183,8487
23234,8356
10985,1975
125115,3055
6634,7153
2197,6207
3860,89953
8115,8115
4087,6717
4055,4055
358,85291
64682,999
2064,5287
5596,8968
5771,6464
54550,84708
2932,6615
23499,7532
10992,11224
125988,3105
55251,9319
153527,9513
1478,1937
166,4004
5936,6224
7158,8367
2289,5966
10014,8625
4792,6128
51645,6430
55211,5800
4176,5925
220766,51225
3065,6605
3119,3630
23560,6154
80306,9862
4609,8604
4163,7170
51280,79760
5126,5126
10018,207
5315,8815
5976,6158
10989,57418
123228,4738
22806,81629
54708,7314
10713,8683
1026,7150
5711,5714
1308,3691
10480,3842
4188,55679
52,54874
2969,3066
10971,5208
358,7205
3556,5295
5437,5970
158787,56159
4300,84444
8295,9968
4780,50813
5990,5990
22822,5359
2064,7184
203068,4790
117144,386677
154,3360
3725,672
10425,158078
257202,34
5793,7454
3735,55157
5524,908
7428,9978
6794,81788
23636,53371
836,8837
23640,4214
167838,9111
892,9442
4292,738
6128,9063
9443,9477
10285,8220
2202,473
1287,1288
151636,83666
1789,6839
25942,6883
6170,6210
4790,84617
353141,5359
11335,8805
1906,4311
7325,83737
5018,79711
2923,3133
219844,2801
1956,3008
10921,26019
10254,83746
10947,55330
23089,23641
128710,79008
23647,382
1613,7157
23244,55290
6464,868
25804,94104
6176,7178
3324,8451
29920,8659
11043,862
5469,5595
118472,3670
83446,89885
100532731,2307
2778,7433
10421,79228
5076,7490
25804,9785
23345,5976
1231,5296
274,5338
229,3312
1791,2547
56945,6128
5500,5576
10152,26146
2072,50649
126374,5914
3191,51202
3609,72
472,55215
3609,55299
3020,4678
196528,2885
1158,84676
5691,5708
3312,5481
28996,4204
10109,3106
8567,8795
11224,3007
171483,9123
26354,55131
2192,4089
125965,6821
10594,56949
3911,3915
84076,9942
4605,7314
55914,7531
3033,79876
112609,4159
476,486
6004,640
25885,5250
2100,57109
11073,7709
5931,8819
5928,9739
10474,10629
6950,7534
3035,6749
2885,6129
7184,8480
25873,55646
10015,5597
10488,113178
127,219
10643,6193
10788,5134
292,6154
2889,5909
11224,6232
3309,5718
5702,5713
6595,6597
22827,8880
2167,3991
1812,26958
23589,8445
6667,7402
7157,8312
54575,7923
4701,4708
10202,3320
57492,8202
5267,5871
10289,7332
1740,9419
3122,3123
1147,5495
10241,85302
388677,64129
7572,7718
4771,7430
6189,6202
3182,3229
817,8850
4057,80279
3856,9448
1742,4036
3623,3624
58,84676
6628,9343
25873,5564
27125,84246
6885,9759
10724,9001
23405,50628
1576,7364
2157,433
29890,8697
2332,5245
23560,6135
11007,151613
10890,2035
1601,30011
6774,7852
3312,6627
10985,5499
10013,25855
26128,55264
4716,4724
5019,7024
1808,203068
25936,79003
2652,407
63875,85302
3554,5580
4311,6176
10142,5523
4343,58517
4189,5347
6462,80149
170082,8636
29088,54148
115106,23641
2033,9401
51318,64928
1641,84687
27339,6628
7756,8899
3611,55127
2011,2011
2648,9282
4292,4609
497661,6122
207,5577
10253,9402
80258,90060
1263,6622
23683,3837
3881,54910
7527,995
23358,3726
51264,63875
10642,2932
1586,1589
4163,6629
11244,5279
3106,51119
3846,54507
5747,5794
11198,6601
3842,8663
2983,5147
1052,7514
23450,5411
3609,7284
79948,84060
3884,7532
79369,8703
10766,9337
26986,9020
5058,7205
11165,7511
5536,8904
55007,84708
22883,9748
1069,5566
2335,8516
153443,6517
324,55329
10992,26986
10713,51691
1642,3035
2130,84224
5168,52
2962,6917
55226,8886
5045,5154
11217,5335
3643,5590
472,6118
1956,8339
23019,6256
11343,3990
5595,824
7157,8445
11035,808
2321,6772
331,7189
6119,79443
1956,5777
3881,79622
2197,6230
545,5884
10488,9783
2268,3059
25873,6207
5333,84812
10915,4343
6809,6857
6284,79666
23371,386682
3910,55729
5595,7068
1601,5578
2967,5440
11075,80321
11035,51474
10980,339448
3836,55646
2100,6195
354,3717
4904,5901
1915,5335
22916,7514
6193,84319
10006,10787
29777,80321
25953,4110
6431,9410
3293,54490
212,8803
29760,7409
6804,6843
3084,83443
1499,602
10262,9775
23649,5422
25804,27258
55131,6202
7020,9223
10247,24140
5580,6714
1017,1033
51268,57489
2230,4929
51631,6840
51318,92259
22827,57187
3093,9781
11156,51495
55729,57724
7323,91445
545,84126
10128,8668
1464,80852
128308,65080
386681,79616
388697,5889
10480,498
5431,57508
6122,6176
3324,3324
10728,2688
219927,64963
10333,7097
274,5906
11051,60491
8563,9785
26589,6182
64963,84311
5962,6093
10985,5250
51003,55512
1500,6714
10492,25885
5782,9564
151393,9217
8883,9045
1523,3146
79002,8559
54535,79839
10241,11143
6502,7529
23309,5993
6154,83939
256281,55093
10946,8449
23254,5493
6156,7307
11338,1665
28996,7157
11218,23107
10401,2033
2885,55183
5621,7745
65125,7013
162989,3182
1616,7874
3066,4609
4794,5966
3575,5295
1019,4609
12,64215
203068,5970
4113,6217
11167,93
8362,9759
654364,94235
26512,5430
23107,26354
8676,9457
23633,284802
498,60
26986,51503
23521,9513
5564,7812
57405,83540
51021,6134
2878,6648
257068,5336
10203,409
54460,7818
1956,8503
63875,64968
6010,6011
3315,8848
6293,7170
10642,3183
219333,51150
5562,57594
1901,208
6722,9252
4597,4598
51340,8896
386682,7879
11103,6165
6210,9513
1879,973
7186,8792
6143,6157
144125,8777
3024,3024
1937,84331
1773,60
2483,51503
64170,7257
11345,3251
28973,54948
23578,79173
4110,54431
1610,267012
10313,9448
1213,273
2,24138
23521,56945
1740,4036
10285,22916
10399,54331
3320,4794
10910,50855
10128,8662
329,329
6204,9232
3309,5714
696,7498
57459,5987
6175,9349
466,7003
1944,4223
3556,54472
9618,9722
51503,51690
2099,6667
57758,80274
1639,7428
50649,6159
4221,5929
29920,4163
29109,7534
2066,6645
51318,55168
27258,7508
5506,6195
10514,1314
6418,8125
10202,10202
22992,4088
4152,80063
6648,7184
3566,653361
2353,5594
23162,6714
55339,7046
10051,56950
122704,51021
2521,5591
5479,56893
146956,548593
1314,6188
6160,64969
10285,24148
65005,84311
10915,23020
27040,6449
3265,5294
220988,51645
5777,973
2035,54819
60492,6606
3054,5134
11103,6210
284695,509
10844,7283
7529,9759
3064,4790
7157,91768
4698,4702
57461,8896
7157,7345
3014,6202
51116,6165
286480,56658
3065,64919
6184,83858
22827,8896
2065,2885
1439,5566
1915,4673
3551,7278
6164,6201
10992,728937
124995,54460
2885,7010
56850,57154
178,5836
8906,9135
125115,9112
22916,7307
5747,6455
1545,51478
4170,8870
60491,80145
2889,9564
5250,6130
10971,8648
10776,8517
116442,80230
3329,8344
51065,6207
653361,653361
287,6710
55644,9659
11059,1822
23350,24148
10226,3482
6147,6732
22827,58509
51023,65005
11030,54793
1277,649
284273,7915
3312,5714
1027,5901
386682,54461
11100,1650
10987,3727
26986,8683
128308,9801
1147,54882
8349,8450
6093,6093
7163,7163
6634,9689
10499,8517
3187,9410
203069,5521
6141,6897
51684,8554
5588,9421
55658,9491
10580,3636
2932,56950
51023,64960
23043,6418
10603,3643
23405,6159
6202,8065
11337,9776
3851,7345
10228,63908
10421,6627
1994,26156
55611,7321
51253,51318
509,54857
283987,57333
309,7846
11198,6741
3678,550
4343,5356
1917,6129
8554,9045
11017,6626
1060,55166
3554,3656
23204,6642
2960,6599
5356,57187
6714,7098
2023,3921
3351,3352
56259,7536
23095,64506
367,8031
1572,54576
23107,23521
23236,7222
1537,84701
175,2519
3065,4100
5566,84687
26580,79666
694,890
125115,54438
84328,8517
10385,89885
11224,9533
10772,55379
83548,9382
6300,8352
11224,54881
2072,6188
2885,2886
7528,9759
6133,6168
7124,8404
11345,63893
7334,8915
11188,367
10524,139212
5693,5719
6122,6130
3059,8216
11253,4245
22985,23451
5245,6135
22913,51362
4236,6431
4609,9690
136319,5594
5331,89869
2072,6135
292,51021
50804,7185
6391,64064
284695,4869
293,83755
10488,51310
55037,57835
2771,60626
51586,9477
2016,60529
10460,55857
56970,8295
2491,79948
138716,9181
4729,4731
292,6141
26156,284695
10250,51690
5984,672
1655,5579
130540,6820
23263,3608
3689,3732
10048,326
10318,705
11224,6143
1917,6137
4696,4714
10294,1080
6194,9129
379,5589
10726,23291
54855,63948
55791,6279
2735,5566
2810,3831
4686,51428
2264,8822
1616,7311
10484,6396
2483,5411
115106,3866
23582,29088
3643,6642
5947,9441
1942,2046
3921,6230
10985,6155
2959,5318
4589,5217
1072,408
26985,8546
6188,7532
23405,708
55743,7334
10817,2885
1107,7376
1936,3895
3842,6222
54507,6297
57085,6642
54512,54704
10783,5987
373156,58477
100,30833
5966,8454
28977,6183
2906,5911
3689,5581
50813,51138
7812,9159
2983,5144
5607,7139
26608,5094
5052,983
3932,945
5588,6624
29966,8611
23112,26523
10454,7186
2274,3679
355,3932
122704,64979
27043,9533
6142,6147
10628,7295
10049,3856
7132,8368
386676,54544
23641,79169
55611,6233
55161,8607
28998,64951
3313,79711
3192,6147
10436,6208
51207,90
11184,9402
207,7534
6749,79172
3040,7248
6150,63931
25942,83463
27185,285753
26355,3326
1656,5987
80342,8655
727,732
6133,7150
1665,2130
6170,6191
10289,4282
10656,22893
10713,1665
6176,6202
55240,9088
11007,147687
11007,7718
292,9045
4033,7534
1025,9440
8294,8351
1022,3066
5058,8359
196,8450
51747,55696
1058,25962
57576,9457
6156,6223
2931,84365
58190,6615
6143,6176
23637,3695
1021,894
1386,5600
28964,5803
440738,89890
1917,8454
1499,2516
2072,6152
51645,5356
6203,8335
1739,2066
2033,4773
10951,3930
57562,79641
2551,3689
6187,6192
1981,4105
81631,8987
10024,7024
7185,9020
2932,7088
23658,27258
22827,9410
5566,6714
23279,79902
2091,6638
54472,9898
56924,998
1025,4683
23557,8943
5058,8997
28973,6183
10857,94081
10427,5335
23648,8861
6895,92736
28998,6182
153561,9869
22909,27030
3990,5407
200845,8697
257068,9162
10971,56893
386682,81567
6125,7157
4001,7431
23774,7862
3846,56654
11338,51340
10262,2444
23710,54958
3840,84464
6626,7536
6446,79711
1459,9478
23236,3636
4690,6237
24144,90427
6949,9188
387032,84838
208,7249
23326,93624
4035,9960
4105,8780
22993,310
5970,9343
25,55824
5333,9651
3064,7175
6155,6165
10985,6156
1674,4292
5430,8533
2081,51347
220082,54955
10291,83443
111,50940
81,88
25885,3608
6607,79833
10016,8904
2623,5552
285135,8852
213,8202
114,5138
6772,6850
6257,6902
122704,51264
1022,2099
1452,4193
253430,56623
930,975
1748,6147
22836,91544
335,959
11345,9776
2017,5594
170712,4519
8353,8361
55723,8357
4591,80125
4536,6714
1282,6288
9943,9943
114928,8481
2977,8622
2339,2633
1387,3663
4092,54778
2969,8517
22826,51503
23764,4899
51362,9939
11007,8204
5931,8189
386682,5152
1070,9094
6155,6218
51147,54583
1460,5621
10992,26354
5683,5693
382,4436
10014,7529
23517,8899
5596,6195
6996,7157
55755,8851
56893,9419
3313,7185
4904,9221
10946,6426
51202,6159
128853,5335
79598,9738
2091,8634
26330,5230
112970,2275
3320,5566
5566,8065
3329,6130
10921,163
2986,5149
2888,4893
226,5832
11051,84811
10289,1856
25,4288
3312,7133
64843,64843
55226,57418
54861,9891
4173,6159
4686,663
10902,7161
26003,283152
4520,8907
23411,8347
25924,4647
23435,8148
2801,79632
2771,3972
408,5744
4853,80271
6382,928
4087,7013
84140,8676
1642,4736
54442,8452
10036,2534
55832,9978
26986,8220
302,920
2969,695
58,60312
51352,7205
3107,38
11335,9785
2597,6517
3759,3767
1642,6154
409,7533
10569,56259
4791,9099
1017,902
7572,7704
6416,7786
5890,8365
1945,1969
226,2820
1647,8543
5036,6144
293,4215
10919,3021
79607,9529
4905,5564
2033,6599
1192,4653
10519,142685
4696,4710
10383,5092
126,6256
10130,5564
1432,2120
54881,8487
301,6175
170954,5499
3420,48
409,6176
28514,4854
1999,5321
125115,81892
3851,84464
58533,7046
3399,7551
23542,79738
1153,55696
2885,6125
865,9139
4725,4726
10603,2057
2588,2629
51367,79839
10211,582
22981,5997
51755,94104
57541,9844
11248,9378
3310,409
8350,8364
10128,3716
55958,90293
10174,51043
2801,81629
10212,29086
3065,60
2801,63898
5864,5876
6839,79813
55577,64841
6170,6217
3448,3665
10969,6217
26147,7329
3106,4282
1943,861
7532,9101
5900,5912
26121,6625
23636,7187
5901,8189
125988,8848
26986,80145
56681,6310
287015,54906
23263,292
10262,1778
5970,6141
1947,2042
6136,9063
2947,60491
11052,6434
10486,10487
10807,6386
4705,4712
23398,6626
