drugid	umls_cui_from_meddra
DB08567	C0038362
DB08567	C0241705
DB08567	C0038450
DB08567	C0085628
DB08567	C0424000
DB08567	C0038661
DB08567	C0038663
DB08567	C0038990
DB08567	C0700590
DB08567	C0039070
DB08567	C0039231
DB08567	C0233494
DB08567	C0233632
DB08567	C0039971
DB08567	C0040034
DB08567	C0040264
DB08567	C0040409
DB08567	C0151610
DB08567	C0235351
DB08567	C0235353
DB08567	C0040479
DB08567	C0014518
DB08567	C0040822
DB08567	C0038367
DB08567	C1145628
DB08567	C0178298
DB08567	C0041912
DB08567	C0041969
DB08567	C0042024
DB08567	C0080274
DB08567	C0042075
DB08567	C1167965
DB08567	C0042109
DB08567	C0227791
DB08567	C2979982
DB08567	C0221392
DB08567	C0042345
DB08567	C1368065
DB08567	C0042384
DB08567	C0042401
DB08567	C1142412
DB08567	C0265110
DB08567	C0042514
DB08567	C0042571
DB08567	C3665347
DB08567	C0042963
DB08567	C0043096
DB08567	C0043094
DB08567	C0038587
DB08567	C0043349
DB08567	C0043387
DB07129	C0232487
DB07129	C0000737
DB07129	C0001364
DB07129	C0001824
DB07129	C0002170
DB07129	C0002622
DB07129	C0002962
DB07129	C0151480
DB07129	C0003811
DB07129	C0428974
DB07129	C0003862
DB07129	C0004093
DB07129	C0004134
DB07129	C0085611
DB07129	C0004245
DB07129	C0018939
DB07129	C0015967
DB07129	C0428977
DB07129	C0018802
DB07129	C0036980
DB07129	C0008031
DB07129	C0009676
DB07129	C0009806
DB07129	C0036572
DB07129	C0520966
DB07129	C0026821
DB07129	C0011570
DB07129	C0011603
DB07129	C0011606
DB07129	C0011991
DB07129	C0234215
DB07129	C0548823
DB07129	C0855242
DB07129	C0012833
DB07129	C0013144
DB07129	C0043352
DB07129	C0151908
DB07129	C0013378
DB07129	C0013395
DB07129	C0011168
DB07129	C0013404
DB07129	C0242350
DB07129	C0014742
DB07129	C0015672
DB07129	C1443060
DB07129	C0687713
DB07129	C0018524
DB07129	C0018681
DB07129	C0018834
DB07129	C0019158
DB07129	C0019521
DB07129	C0600142
DB07129	C0020458
DB07129	C0020517
DB07129	C0020538
DB07129	C0020580
DB07129	C0020649
DB07129	C2047937
DB07129	C0023530
DB07129	C0011124
DB07129	C0220870
DB07129	C0151766
DB07129	C0041657
DB07129	C0235896
DB07129	C0231218
DB07129	C0236075
DB07129	C0037763
DB07129	C0948594
DB07129	C0026987
DB07129	C0027013
DB07129	C0027497
DB07129	C0027769
DB07129	C0027947
DB07129	C0028643
DB07129	C0028738
DB07129	C0013604
DB07129	C0151970
DB07129	C0030193
DB07129	C0030252
DB07129	C0030305
DB07129	C0030554
DB07129	C0030920
DB07129	C0031350
DB07129	C0033975
DB07129	C0034069
DB07129	C0919924
DB07129	C0015230
DB07129	C0278134
DB07129	C0036974
DB07129	C0701811
DB07129	C2830004
DB07129	C0037822
DB07129	C0233715
DB07129	C0038325
DB07129	C0700590
DB07129	C0039070
DB07129	C0740425
DB07129	C0233494
DB07129	C0040034
DB07129	C0040264
DB07129	C0040822
DB07129	C0041909
DB07129	C0152032
DB07129	C0085612
DB07129	C0151636
DB07129	C0344232
DB07129	C0547030
DB07129	C3665347
DB07129	C0042963
DB08298	C0232487
DB08298	C0000731
DB08298	C0000737
DB08298	C0232492
DB08298	C0000833
DB08298	C0031085
DB08298	C0702166
DB08298	C0948089
DB08298	C0233472
DB08298	C0001824
DB08298	C0001925
DB08298	C0085762
DB08298	C0002063
DB08298	C0002170
DB08298	C0002418
DB08298	C0002622
DB08298	C0002871
DB08298	C0002792
DB08298	C0340865
DB08298	C0002962
DB08298	C1695895
DB08298	C0002994
DB08298	C0042373
DB08298	C0687707
DB08298	C0003123
DB08298	C0003467
DB08298	C0003507
DB08298	C0038363
DB08298	C0002874
DB08298	C0003578
DB08298	C1971624
DB08298	C0003811
DB08298	C0003862
DB08298	C0022408
DB08298	C0004093
DB08298	C0004096
DB08298	C0232849
DB08298	C0151529
