"drugid"	"g"
"DB00072"	"go:0038096"
"DB00072"	"go:0050776"
"DB00072"	"go:0002474"
"DB00072"	"go:0002479"
"DB00072"	"go:0006911"
"DB00072"	"go:0019221"
"DB00072"	"go:0035556"
"DB00072"	"go:0042590"
"DB00072"	"go:0060333"
"DB00078"	"go:0007267"
"DB00078"	"go:0048839"
"DB00078"	"go:0030853"
"DB00078"	"go:0045650"
"DB00078"	"go:0038096"
"DB00078"	"go:0050776"
"DB00078"	"go:0002474"
"DB00078"	"go:0002479"
"DB00078"	"go:0006911"
"DB00078"	"go:0007165"
"DB00078"	"go:0019221"
"DB00078"	"go:0035556"
"DB00078"	"go:0042590"
"DB00078"	"go:0060333"
"DB00108"	"go:0007267"
"DB00108"	"go:0048839"
"DB00108"	"go:0030853"
"DB00108"	"go:0045650"
"DB00108"	"go:0038096"
"DB00108"	"go:0050776"
"DB00108"	"go:0002474"
"DB00108"	"go:0002479"
"DB00108"	"go:0006911"
"DB00108"	"go:0007165"
"DB00108"	"go:0019221"
"DB00108"	"go:0035556"
"DB00108"	"go:0042590"
"DB00108"	"go:0060333"
"DB00002"	"go:0016032"
"DB00004"	"go:0035771"
"DB00004"	"go:0038111"
"DB00005"	"go:0016032"
"DB00054"	"go:0016032"
"DB00072"	"go:0016032"
"DB00078"	"go:0016032"
"DB00108"	"go:0016032"
"DB00945"	"go:0001516"
"DB00945"	"go:0001525"
"DB00945"	"go:0006693"
"DB00945"	"go:0006766"
"DB00945"	"go:0006767"
"DB00945"	"go:0006769"
"DB00945"	"go:0006928"
"DB00945"	"go:0006954"
"DB00945"	"go:0006979"
"DB00945"	"go:0007566"
"DB00945"	"go:0007612"
"DB00945"	"go:0007613"
"DB00945"	"go:0008217"
"DB00945"	"go:0008285"
"DB00945"	"go:0009750"
"DB00945"	"go:0010042"
"DB00945"	"go:0010226"
"DB00945"	"go:0010575"
"DB00945"	"go:0019233"
"DB00945"	"go:0019369"
"DB00945"	"go:0019371"
"DB00945"	"go:0019372"
"DB00945"	"go:0019674"
"DB00945"	"go:0030282"
"DB00945"	"go:0030728"
"DB00945"	"go:0031394"
"DB00945"	"go:0031622"
"DB00945"	"go:0031915"
"DB00945"	"go:0032227"
"DB00945"	"go:0032355"
"DB00945"	"go:0032496"
"DB00945"	"go:0033280"
"DB00945"	"go:0034612"
"DB00945"	"go:0034644"
"DB00945"	"go:0035633"
"DB00945"	"go:0042346"
"DB00945"	"go:0042493"
"DB00945"	"go:0042633"
"DB00945"	"go:0043065"
"DB00945"	"go:0044281"
"DB00945"	"go:0045429"
"DB00945"	"go:0045786"
"DB00945"	"go:0045907"
"DB00945"	"go:0045986"
"DB00945"	"go:0045987"
"DB00945"	"go:0046697"
"DB00945"	"go:0048661"
"DB00945"	"go:0050727"
"DB00945"	"go:0050873"
"DB00945"	"go:0051384"
"DB00945"	"go:0051926"
"DB00945"	"go:0051968"
"DB00945"	"go:0055114"
"DB00945"	"go:0070542"
"DB00945"	"go:0071260"
"DB00945"	"go:0071318"
"DB00945"	"go:0071456"
"DB00945"	"go:0071498"
"DB00945"	"go:0071636"
"DB00945"	"go:0090050"
"DB00945"	"go:0090271"
"DB00945"	"go:0090336"
"DB00945"	"go:0090362"
"DB00054"	"go:0030198"
"DB00054"	"go:0030949"
"DB00054"	"go:0032092"
"DB00054"	"go:0035987"
"DB00054"	"go:0048709"
"DB00054"	"go:0061302"
"DB00054"	"go:0090303"
"DB00054"	"go:0006898"
"DB00054"	"go:0007155"
"DB00054"	"go:0007160"
"DB00054"	"go:0010811"
"DB00054"	"go:0010951"
"DB00054"	"go:0014911"
"DB00054"	"go:0030195"
"DB00054"	"go:0030449"
"DB00054"	"go:0033627"
"DB00054"	"go:0048260"
"DB00054"	"go:0050731"
"DB00054"	"go:0001934"
"DB00054"	"go:0007411"
"DB00054"	"go:0007596"
"DB00054"	"go:0010888"
"DB00054"	"go:0030168"
"DB00054"	"go:0048010"
"DB00054"	"go:0050900"
"DB00054"	"go:0007044"
"DB00054"	"go:0010745"
"DB00054"	"go:0016049"
"DB00054"	"go:0032369"
"DB00054"	"go:0034113"
"DB00054"	"go:0034446"
"DB00054"	"go:0035295"
"DB00054"	"go:0038027"
"DB00054"	"go:0045124"
"DB00054"	"go:0045715"
"DB00054"	"go:0046718"
"DB00054"	"go:0050748"
"DB00054"	"go:0050919"
"DB00054"	"go:0060055"
"DB00054"	"go:0001938"
"DB00054"	"go:0002576"
"DB00054"	"go:0006457"
"DB00054"	"go:0007229"
"DB00054"	"go:0010595"
"DB00054"	"go:0014909"
"DB00054"	"go:0016477"
"DB00054"	"go:0031589"
"DB00054"	"go:0032147"
"DB00054"	"go:0042060"
"DB00054"	"go:0048333"
"DB00054"	"go:0070527"
"DB00054"	"go:0002687"
"DB00072"	"go:0014068"
"DB00072"	"go:0030307"
"DB00072"	"go:0042493"
"DB00072"	"go:0045785"
"DB00072"	"go:0071363"
"DB00072"	"go:0007167"
"DB00072"	"go:0007169"
"DB00072"	"go:0007422"
"DB00072"	"go:0007519"
"DB00072"	"go:0008045"
"DB00072"	"go:0032886"
"DB00072"	"go:0033088"
"DB00072"	"go:0042552"
"DB00072"	"go:0043586"
"DB00072"	"go:0044849"
"DB00072"	"go:0045727"
"DB00072"	"go:0045765"
"DB00072"	"go:0045943"
"DB00072"	"go:0045945"
"DB00072"	"go:0046579"
"DB00072"	"go:0048485"
"DB00072"	"go:0048709"
"DB00072"	"go:0060056"
"DB00072"	"go:0090314"
"DB00072"	"go:0001889"
"DB00072"	"go:0006351"
"DB00072"	"go:0006468"
"DB00072"	"go:0007507"
"DB00072"	"go:0007528"
"DB00072"	"go:0014065"
"DB00072"	"go:0032570"
"DB00072"	"go:0042060"
"DB00072"	"go:0043547"
"DB00072"	"go:0048678"
"DB00072"	"go:0070372"
"DB00078"	"go:0006959"
"DB00078"	"go:0042100"
"DB00108"	"go:0008360"
"DB00108"	"go:0030198"
"DB00108"	"go:0042493"
"DB00108"	"go:0045429"
"DB00108"	"go:0045907"
"DB00108"	"go:0050900"
"DB00108"	"go:0051092"
"DB00108"	"go:0051926"
"DB00108"	"go:0070374"
"DB00108"	"go:0071222"
"DB00108"	"go:0071456"
